"0x9689c2ccdaa398a3:0x634c5c452795b6b8","+56323537992","Mendele Vulcanización","Mendele Vulcanización - Av. Alerce 35, Concón, Valparaíso, Chile","-32.9341595","-71.5397918","300","4.6","America/Santiago","http://instagram.com/vulcamendele","ChIJo5ij2szCiZYRuLaVJ0VcTGM","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c2ccdaa398a3:0x634c5c452795b6b8","","Concón, Chile","false","false","","Av. Alerce 35 | Concón | Valparaíso | Chile","Mechanic","","","","","","","",""
"0x9689c3e6582498d1:0xa027a638663bcd7","+56322810552","Todo Perno","Todo Perno - Vergara 891, Concón, Valparaíso, Chile","-32.925688799999996","-71.5156928","21","4.8","America/Santiago","","ChIJ0ZgkWObDiZYR17xjhmN6Ago","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c3e6582498d1:0xa027a638663bcd7","","Concón, Chile","false","false","","Vergara 891 | Concón | Valparaíso | Chile","Auto parts store","","","","","","","",""
"0x9689dd004a96368f:0x6417b4081b33d87b","+56999075772","Vulcanizacion Donde el Migue","Vulcanizacion Donde el Migue - Av. Concón Reñaca 145, 2510541 Concón, Valparaíso, Chile","-32.9337066","-71.536459","30","4.4","America/Santiago","","ChIJjzaWSgDdiZYRe9gzGwi0F2Q","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689dd004a96368f:0x6417b4081b33d87b","","Concón, Chile","false","false","","Av. Concón Reñaca 145 | 2510541 Concón | Valparaíso | Chile","Mechanic","","","","","","","",""
"0x9689c3015d15d705:0x777b9c0c13a9dec1","+56932682179","TECNOZONE - Servicio Técnico de Celulares y Computadores","TECNOZONE - Servicio Técnico de Celulares y Computadores - Av. Manantiales 955, Concón, Valparaíso, Chile","-32.930298799999996","-71.5176669","3","4.7","America/Santiago","http://www.tecnozone.cl/","ChIJBdcVXQHDiZYRwd6pEwyce3c","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c3015d15d705:0x777b9c0c13a9dec1","","Concón, Chile","true","true","","Av. Manantiales 955 | Concón | Valparaíso | Chile","Telecommunications service provider | Repair service","","","","","","","",""
"0x9689dd2832b0fed5:0xb1956018861aa180","+56944924508","Barbara O y otros","Barbara O y otros - Av Edmundo Eluchans, 2520000 Viña del Mar, Valparaíso, Chile","-32.9587456","-71.544389","15","3.4","America/Santiago","https://instagram.com/whicar","ChIJ1f6wMijdiZYRgKEahhhglbE","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689dd2832b0fed5:0xb1956018861aa180","","Viña del Mar, Chile","true","true","","Av Edmundo Eluchans | 2520000 Viña del Mar | Valparaíso | Chile","ATV repair shop | Used car dealer","","","","","","","",""
"0x9689c3bb7da3ff0b:0xd1958b2557c7881f","+56991318078","JMotors Concon - Taller mecanico","JMotors Concon - Taller mecanico - Av. Borgoño 25600, Concón, Valparaíso, Chile","-32.9227784","-71.5069359","24","4.5","America/Santiago","https://www.jmotorsconcon.com/","ChIJC_-jfbvDiZYRH4jHVyWLldE","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c3bb7da3ff0b:0xd1958b2557c7881f","","Concón, Chile","true","true","","Av. Borgoño 25600 | Concón | Valparaíso | Chile","Auto repair shop | Chauffeur service | Mechanic","","","","","","","",""
"0x9689c30064cc89a1:0xd2b881e5d730e015","","Vulcanizacion la Isla","Vulcanizacion la Isla - Quintero Norte, Las Ramaditas, Quintero, Valparaíso, Chile","-32.9185988","-71.5032066","","","America/Santiago","","ChIJoYnMZADDiZYRFeAw1-WBuNI","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c30064cc89a1:0xd2b881e5d730e015","","Las Ramaditas, Quintero, Chile","false","false","","Quintero Norte | Las Ramaditas, Quintero | Valparaíso | Chile","Auto repair shop","","","","","","","",""
"0x9689ddfdd17e335f:0x757f092a57d3ffa4","+56958368842","TOBERO VIÑA DEL MAR","TOBERO VIÑA DEL MAR - Riñihue 2450, Viña del Mar, Valparaíso, Chile","-32.960341299999996","-71.5102351","9","4.8","America/Santiago","http://www.tobero.cl/","ChIJXzN-0f3diZYRpP_TVyoJf3U","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689ddfdd17e335f:0x757f092a57d3ffa4","","Viña del Mar, Chile","false","false","","Riñihue 2450 | Viña del Mar | Valparaíso | Chile","Auto repair shop","","","","","","","",""
"0x9689dd0009b0afe5:0x4c67fdf12f29a600","","CERRAJERÍA COLONIAL BOSQUES","CERRAJERÍA COLONIAL BOSQUES - Av Edmundo Eluchans 1850, local 3-E, Viña del Mar, Valparaíso, Chile","-32.9579814","-71.54413219999999","2","5","America/Santiago","","ChIJ5a-wCQDdiZYRAKYpL_H9Z0w","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689dd0009b0afe5:0x4c67fdf12f29a600","","Viña del Mar, Chile","false","false","","Av Edmundo Eluchans 1850, local 3-E | Viña del Mar | Valparaíso | Chile","Auto repair shop","","","","","","","",""
"0x9689db514ee5356d:0xe3fa89459882491f","","serviteca colmito","serviteca colmito - Av. El Parque 520, Concón, Valparaíso, Chile","-32.9312183","-71.4711064","27","4.6","America/Santiago","https://verschae.cl/","ChIJbTXlTlHbiZYRH0mCmEWJ-uM","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689db514ee5356d:0xe3fa89459882491f","","Concón, Chile","false","false","","Av. El Parque 520 | Concón | Valparaíso | Chile","Auto repair shop","","","","","","","",""
